Identifier,Company Name,GICS Industry Name,Exchange Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BK.N,Bank of New York Mellon Corp,Capital Markets,"NEW YORK STOCK EXCHANGE, INC.",0.015600000000000001,0.01539,0.0167,0.0124,0.0116,0.0125,0.0121,0.0088,0.0070999999999999995,0.0072,0.0073,0.0083,0.0095,0.0105,0.0116,0.0102,0.0084,0.0078000000000000005,0.005600000000000001,0.0098
BNS.TO,Bank of Nova Scotia,Banks,TORONTO STOCK EXCHANGE,0.01,0.0086,0.0098,0.0076,0.0072,0.008,,0.0086,,0.0092,0.0085,0.008199999999999999,0.0088,0.009000000000000001,0.0083,0.006,0.0083,0.008100000000000001,0.005699999999999999,0.005699999999999999
BCVN.S,Banque Cantonale Vaudoise,Banks,SIX SWISS EXCHANGE,0.0101,0.01352,0.01485,0.01385,0.0101,,,0.008,0.0078000000000000005,0.006999999999999999,,0.0072,0.006999999999999999,0.004699999999999999,0.0075,0.0075,0.0086,,,
BARC.L,Barclays PLC,Banks,LONDON STOCK EXCHANGE,0.0067,0.004699999999999999,0.0047599999999999995,0.0039700000000000004,0.00267,0.00189,0.00207,0.00178,0.0027600000000000003,0.0017000000000000001,0.0021,0.0022,0.0019,0.0022,0.005699999999999999,0.0064,0.0012,0.0048,0.0045000000000000005,0.0034000000000000002
BC8G.DE,Bechtle AG,IT Services,XETRA,0.0785,0.07311,0.07357,0.09378,0.09577,0.0658,0.0791,0.0861,0.06860000000000001,0.0723,0.0791,0.095,0.096,0.08446,0.07902999999999999,0.0771,0.0758,0.08109999999999999,0.07769,0.0732
BSY.OQ,Bentley Systems Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),,,,,,,,,,,,,,,,,,,0.09919,0.36658999999999997
BRKb.N,Berkshire Hathaway Inc,Financial Services,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,,,,,0.03,,0.0352,0.031400000000000004,0.02589,0.03,0.0323,0.037000000000000005
BLK.N,BlackRock Inc,Capital Markets,"NEW YORK STOCK EXCHANGE, INC.",0.1572,0.1459,,,,,0.012,0.0125,0.0128,0.0137,0.0144,0.014199999999999999,0.0144,0.0169,0.023,0.0273,0.030299999999999997,0.03669,0.039900000000000005,0.0473
BX.N,Blackstone Inc,Capital Markets,"NEW YORK STOCK EXCHANGE, INC.",,,,0.1378,-0.1261,,0.10039999999999999,0.0682,0.0785,0.1199,0.14854,0.0796,,0.027999999999999997,0.08990000000000001,0.0933,0.53399,,0.36579,0.0719
SQ.N,Block Inc,Financial Services,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,,,,,-0.3165,0.0677,0.0821,0.09910000000000001,0.0591,0.0754,0.0202,0.0346
EMII.MI,Bper Banca SpA,Banks,ELECTRONIC SHARE MARKET,0.006,0.0066300000000000005,0.00783,,0.00264,,0.0031,0.0042,,0.0009,0.0005,0.0036,0.00023,,,0.0023,0.0026,0.0046,0.0034999999999999996,0.0103
AVGO.OQ,Broadcom Inc,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),,,,,,0.0746,0.24239999999999998,0.2842,0.2438,0.2329,0.0378,0.24789999999999998,0.1545,0.139,0.1797,0.1377,0.1393,0.166,0.22210000000000002,0.2516
